Riding Name, Riding ID, Mp Name, MP ID, Party
Mississauga Centre,772,Alghabra, Omar,89535,Liberal
Mississauga East—Cooksville,773,Fonseca, Peter,71692,Liberal
Mississauga—Erin Mills,774,Khalid, Iqra,88849,Liberal
Mississauga—Lakeshore,775,Spengemann, Sven,88852,Liberal
Mississauga—Malton,776,Bains, Navdeep  (Hon.),25471,Liberal
Mississauga—Streetsville,777,Sikand, Gagan,88858,Liberal
Moncton—Riverview—Dieppe,633,Petitpas Taylor, Ginette  (Hon.),88364,Liberal
Montarville,685,Picard, Michel,71529,Liberal
Montcalm,686,Thériault, Luc,88552,Bloc Québécois
Montmagny—L'Islet—Kamouraska—Rivière-du-Loup,687,Généreux, Bernard,63908,Conservative
Moose Jaw—Lake Centre—Lanigan,854,Lukiwski, Tom,25520,Conservative
Mount Royal,688,Housefather, Anthony,88558,Liberal
Nanaimo—Ladysmith,915,Malcolmson, Sheila,89486,NDP
Nepean,778,Arya, Chandra,88860,Liberal
New Brunswick Southwest,634,Ludwig, Karen,88365,Liberal
New Westminster—Burnaby,916,Julian, Peter,16399,NDP
Newmarket—Aurora,779,Peterson, Kyle,71702,Liberal
Niagara Centre,780,Badawey, Vance,88867,Liberal
Niagara Falls,781,Nicholson, Rob  (Hon.),820,Conservative
Niagara West,782,Allison, Dean,25446,Conservative
Nickel Belt,783,Serré, Marc,88874,Liberal
Nipissing—Timiskaming,784,Rota, Anthony,25452,Liberal
North Island—Powell River,934,Blaney, Rachel,89354,NDP
North Okanagan—Shuswap,917,Arnold, Mel,89294,Conservative
North Vancouver,918,Wilkinson, Jonathan,89300,Liberal
Northumberland—Peterborough South,785,Rudd, Kim,71718,Liberal
Northwest Territories,941,McLeod, Michael,89374,Liberal
Notre-Dame-de-Grâce—Westmount,689,Garneau, Marc  (Hon.),10524,Liberal
Nunavut,942,Tootoo, Hunter  (Hon.),1665,Liberal
Oakville,786,Oliver, John,88881,Liberal
Oakville North—Burlington,787,Damoff, Pam,88884,Liberal
Orléans,790,Leslie, Andrew  (Hon.),88894,Liberal
Oshawa,788,Carrie, Colin,25486,Conservative
Ottawa Centre,789,McKenna, Catherine  (Hon.),88892,Liberal
Ottawa South,791,McGuinty, David,9486,Liberal
Ottawa West—Nepean,793,Vandenbeld, Anita,71738,Liberal
Ottawa—Vanier,792,Bélanger, Mauril  (Hon.),873,Liberal
Outremont,690,Mulcair, Thomas  (Hon.),26684,NDP
Oxford,794,MacKenzie, Dave,891,Conservative
Papineau,691,Trudeau, Justin  (Right Hon.),58733,Liberal
Parkdale—High Park,795,Virani, Arif,88910,Liberal
Parry Sound—Muskoka,796,Clement, Tony  (Hon.),15975,Conservative
Peace River—Westlock,891,Viersen, Arnold,89211,Conservative
Perth—Wellington,797,Nater, John,88917,Conservative
Peterborough—Kawartha,798,Monsef, Maryam  (Hon.),88922,Liberal
Pickering—Uxbridge,799,O'Connell, Jennifer,88925,Liberal
Pierre-Boucher—Les Patriotes—Verchères,650,Barsalou-Duval, Xavier,88422,Bloc Québécois
Pierrefonds—Dollard,692,Baylis, Frank,88578,Liberal
Pitt Meadows—Maple Ridge,919,Ruimy, Dan,89304,Liberal
Pontiac,693,Amos, William,89527,Liberal
Port Moody—Coquitlam,920,Donnelly, Fin,63592,NDP
Portage—Lisgar,842,Bergen, Candice  (Hon.),59110,Conservative
Portneuf—Jacques-Cartier,694,Godin, Joël,89407,Conservative
Prince Albert,855,Hoback, Randy,59148,Conservative
Prince George—Peace River—Northern Rockies,921,Zimmer, Bob,72035,Conservative
Provencher,843,Falk, Ted,84672,Conservative
Québec,695,Duclos, Jean-Yves  (Hon.),89408,Liberal
Red Deer—Lacombe,893,Calkins, Blaine,35897,Conservative
Red Deer—Mountain View,892,Dreeshen, Earl,59226,Conservative
Regina—Lewvan,856,Weir, Erin,31796,NDP
Regina—Qu'Appelle,857,Scheer, Andrew,25454,Conservative
Regina—Wascana,858,Goodale, Ralph  (Hon.),1265,Liberal
Renfrew—Nipissing—Pembroke,800,Gallant, Cheryl,1809,Conservative
Repentigny,696,Pauzé, Monique,88595,Bloc Québécois
Richmond Centre,922,Wong, Alice  (Hon.),30812,Conservative
Richmond Hill,801,Jowhari, Majid,88929,Liberal
Richmond—Arthabaska,697,Rayes, Alain,88600,Conservative
Rimouski-Neigette—Témiscouata—Les Basques,654,Caron, Guy,23915,NDP
Rivière-des-Mille-Îles,698,Lapointe, Linda,88601,Liberal
Rivière-du-Nord,699,Fortin, Rhéal,88605,Bloc Québécois
Rosemont—La Petite-Patrie,700,Boulerice, Alexandre,58775,NDP
Saanich—Gulf Islands,924,May, Elizabeth,2897,Green Party
Sackville—Preston—Chezzetcook,623,Samson, Darrell,88333,Liberal
Saint Boniface—Saint Vital,844,Vandal, Dan,89045,Liberal
Saint John—Rothesay,635,Long, Wayne,88368,Liberal
Saint-Hyacinthe—Bagot,702,Sansoucy, Brigitte,53569,NDP
Saint-Jean,703,Rioux, Jean,88623,Liberal
Saint-Laurent,704,Dion, Stéphane  (Hon.),460,Liberal
Saint-Léonard—Saint-Michel,705,Di Iorio, Nicola,88627,Liberal
Saint-Maurice—Champlain,706,Champagne, François-Philippe,88633,Liberal
Salaberry—Suroît,707,Quach, Anne Minh-Thu,71350,NDP
Sarnia—Lambton,805,Gladu, Marilyn,88938,Conservative
Saskatoon West,861,Benson, Sheri,89090,NDP
Saskatoon—Grasswood,859,Waugh, Kevin,89084,Conservative
Saskatoon—University,860,Trost, Brad,25462,Conservative
Sault Ste. Marie,806,Sheehan, Terry,88944,Liberal
Scarborough Centre,808,Zahid, Salma,88950,Liberal
Scarborough North,810,Chen, Shaun,88953,Liberal
Scarborough Southwest,812,Blair, Bill,88961,Liberal
Scarborough—Agincourt,807,Chan, Arnold,86249,Liberal
Scarborough—Guildwood,809,McKay, John  (Hon.),957,Liberal
Scarborough—Rouge Park,811,Anandasangaree, Gary,89449,Liberal
Selkirk—Interlake—Eastman,845,Bezan, James,25475,Conservative
Shefford,708,Breton, Pierre,58707,Liberal
Sherbrooke,709,Dusseault, Pierre-Luc,71553,NDP
Sherwood Park—Fort Saskatchewan,895,Genuis, Garnett,89226,Conservative
Simcoe North,814,Stanton, Bruce,35724,Conservative
Simcoe—Grey,813,Leitch, K. Kellie  (Hon.),71786,Conservative
Skeena—Bulkley Valley,925,Cullen, Nathan,25493,NDP
Souris—Moose Mountain,862,Kitchen, Robert,89095,Conservative
South Okanagan—West Kootenay,926,Cannings, Richard,89327,NDP
South Shore—St. Margarets,624,Jordan, Bernadette,88340,Liberal
South Surrey—White Rock,927,Watts, Dianne L.,89333,Conservative
Spadina—Fort York,815,Vaughan, Adam,54434,Liberal
St. Albert—Edmonton,894,Cooper, Michael,89219,Conservative
St. Catharines,803,Bittle, Chris,88934,Liberal
St. John's East,610,Whalen, Nick,88296,Liberal
St. John's South—Mount Pearl,611,O'Regan, Seamus,88299,Liberal
Steveston—Richmond East,928,Peschisolido, Joe,1825,Liberal
Stormont—Dundas—South Glengarry,816,Lauzon, Guy,25516,Conservative
Sturgeon River—Parkland,896,Ambrose, Rona  (Hon.),25447,Conservative
Sudbury,817,Lefebvre, Paul,88973,Liberal
Surrey Centre,929,Sarai, Randeep,89339,Liberal
Surrey—Newton,930,Dhaliwal, Sukh,31098,Liberal
Sydney—Victoria,625,Eyking, Mark  (Hon.),1806,Liberal
Terrebonne,711,Boudrias, Michel,88651,Bloc Québécois
Thérèse-De Blainville,649,Ayoub, Ramez,88419,Liberal
Thornhill,818,Kent, Peter  (Hon.),35699,Conservative
Thunder Bay—Rainy River,819,Rusnak, Don,88982,Liberal
Thunder Bay—Superior North,820,Hajdu, Patty  (Hon.),88984,Liberal
Timmins—James Bay,821,Angus, Charlie,25470,NDP
Tobique—Mactaquac,636,Harvey, T.J.,88370,Liberal
Toronto Centre,822,Morneau, Bill  (Hon.),88992,Liberal
